xflr5 v6.61,,,,,,,,,,,
,,,,,,,,,,,
 Calculated polar for: dae31_80_dae41,,,,,,,,,,,
,,,,,,,,,,,
 1 1 Reynolds number fixed          Mach number fixed         ,,,,,,,,,,,
,,,,,,,,,,,
 xtrf =   1.000 (top)        1.000 (bottom),,,,,,,,,,,
 Mach =   0.000     Re =     0.030 e 6     Ncrit =   9.000,,,,,,,,,,,
,,,,,,,,,,,
alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp,,
0,-0.0295,0.0567,0.04741,-0.0682,1,0.2363,-1.3256,0,0,0,-2.0818
0.5,0.0324,0.05446,0.04433,-0.0731,1,0.2345,-1.2913,0,0,0,2.5193
1,0.0902,0.05363,0.04258,-0.0763,1,0.2481,-1.239,0,0,0,1.0973
1.5,0.1435,0.0538,0.04208,-0.0781,1,0.2842,-1.1711,0,0,0,0.7931
2,0.1978,0.05418,0.04251,-0.0795,1,0.3872,-1.1143,0,0,0,0.6494
2.5,0.25659,0.052844,0.040167,-0.08332,1,0.38351,-1.06542,0,0,0,1.71632
3,0.2759,0.05604,0.04412,-0.0783,1,1,-0.949,0,0,0,0.5298
3.5,0.308,0.05931,0.04687,-0.0788,1,1,-0.7867,0,0,0,0.5008
4,0.3387,0.06281,0.04999,-0.0793,1,1,-0.6344,0,0,0,0.4785
4.5,0.3682,0.06656,0.05345,-0.08,1,1,-0.6241,0,0,0,0.4609
5,0.3966,0.07055,0.05724,-0.0808,1,1,-0.6459,0,0,0,0.4468
5.5,0.4239,0.07482,0.06136,-0.0818,1,1,-0.6677,0,0,0,0.4353
6,0.4593,0.08016,0.06659,-0.0847,0.9941,1,-0.6964,0,0,0,0.4262
6.5,0.519,0.08788,0.07426,-0.0926,0.9568,1,-0.7448,0,0,0,0.4197
7,0.5676,0.09487,0.08127,-0.0979,0.9204,1,-0.7883,0,0,0,0.4132
7.5,0.6042,0.10114,0.0876,-0.1011,0.8879,1,-0.8244,0,0,0,0.4075
8,0.6558,0.1099,0.09642,-0.1064,0.8573,1,-0.879,0,0,0,0.4018
8.5,0.6707,0.1141,0.10075,-0.1064,0.8291,1,-0.8966,0,0,0,0.3976
9,0.7017,0.12054,0.10734,-0.1087,0.7995,1,-0.9331,0,0,0,0.3933
9.5,0.7429,0.12923,0.11618,-0.1124,0.7729,1,-0.9829,0,0,0,0.3891
10,0.7588,0.13466,0.12177,-0.1131,0.7493,1,-1.0041,0,0,0,0.3863
